Nom,1/9/2012,15/9/2012,1/10/2012,15/10/2012,1/11/2012,15/11/2012,1/12/2012,15/12/2012,1/1/2013,15/1/2013,1/2/2013,15/2/2013,1/3/2013,15/3/2013,1/4/2013,15/4/2013,1/5/2013,15/5/2013,1/6/2013,15/6/2013,1/7/2013,15/7/2013,1/8/2013,15/8/2013,1/9/2013,15/9/2013,1/10/2013,15/10/2013,1/11/2013,15/11/2013,1/12/2013,15/12/2013,1/1/2014,15/1/2014,1/2/2014,15/2/2014,1/3/2014,15/3/2014,1/4/2014,15/4/2014,1/5/2014,15/5/2014,1/6/2014,15/6/2014,1/7/2014,15/7/2014,1/8/2014,15/8/2014,1/9/2014,15/9/2014,1/10/2014,15/10/2014,1/11/2014,15/11/2014,1/12/2014,15/12/2014,1/1/2015,15/1/2015,1/2/2015,15/2/2015,1/3/2015,15/3/2015,1/4/2015,15/4/2015,1/5/2015,15/5/2015,1/6/2015,15/6/2015,1/7/2015,15/7/2015,1/8/2015,15/8/2015,1/9/2015,15/9/2015,1/10/2015,15/10/2015,1/11/2015,15/11/2015,1/12/2015,15/12/2015,1/1/2016,15/1/2016,1/2/2016,15/2/2016,1/3/2016,15/3/2016,1/4/2016,15/4/2016,1/5/2016,15/5/2016,1/6/2016,15/6/2016,1/7/2016,15/7/2016,1/8/2016,15/8/2016,1/9/2016,15/9/2016,1/10/2016,15/10/2016,1/11/2016,15/11/2016,1/12/2016,15/12/2016,1/1/2017,15/1/2017,1/2/2017,15/2/2017,1/3/2017,15/3/2017,1/4/2017,15/4/2017,1/5/2017,15/5/2017,1/6/2017,15/6/2017,1/7/2017,15/7/2017,1/8/2017,15/8/2017,1/9/2017,15/9/2017,1/10/2017,15/10/2017,1/11/2017,15/11/2017,1/12/2017,15/12/2017,1/1/2018,15/1/2018,1/2/2018,15/2/2018,1/3/2018,15/3/2018,1/4/2018,15/4/2018,1/5/2018,15/5/2018,1/6/2018,15/6/2018,1/7/2018,15/7/2018,1/8/2018,15/8/2018,1/9/2018,15/9/2018,1/10/2018,15/10/2018,1/11/2018,15/11/2018,1/12/2018,15/12/2018,1/1/2019,15/1/2019,1/2/2019,15/2/2019,1/3/2019,15/3/2019,1/4/2019,15/4/2019,1/5/2019,15/5/2019,1/6/2019,15/6/2019,1/7/2019,15/7/2019,1/8/2019,15/8/2019,1/9/2019,15/9/2019,1/10/2019,
JeanPascalBouchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,16,39,56,67,67,72,96,102,102,102,113,113,114,167,184,211,218,234,257,267,270,281,296,298,298,298,298,332,332,340,363,404,404,404,405,405,452,504,504,575,582,593,621,651,673,684,
KayzelDelaPenaHilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,612,612,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,
KimLea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,546,569,569,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,629,
LeClubDesNerds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,744,1008,1159,1337,1465,1605,1640,1643,1707,1717,1832,1874,1963,1971,2001,2003,2016,2050,2075,2079,2080,2082,2084,
LeoSimplet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,99,99,99,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,154,154,154,154,247,247,247,247,247,247,247,541,1240,1387,1387,1702,1758,1789,1789,1789,1975,2006,2077,2089,2089,2122,2127,2135,2164,2215,2215,2241,2241,2322,2322,2329,2329,2329,2329,2329,2331,2331,2331,2331,2331,2331,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2336,2336,2336,2336,2343,2343,2343,2343,2348,2351,2351,2351,2351,
LesbigduCercle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,93,132,287,297,353,747,797,885,998,1178,1212,1219,1226,1226,1369,1370,1373,1380,1383,1383,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1385,1385,1385,1385,1385,1385,1385,1385,1385,
LilianBylibo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,41,46,46,46,56,56,56,66,66,89,89,89,98,98,190,190,190,190,190,190,190,190,190,197,451,615,679,691,691,698,698,698,698,698,698,698,698,698,698,698,698,698,698,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,
LiliBousquet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,795,1590,1895,2018,2173,2358,2423,2790,3103,3141,
LiseBoutenegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,5802,10683,14416,17302,20845,25073,28461,30197,32576,34475,36499,38498,40010,41381,43308,44340,45554,46434,47914,48677,49703,50450,50875,51152,51965,52469,53201,53856,54758,55473,56495,56953,57359,57663,58228,58770,59217,59648,59901,60155,60495,60902,61362,61702,62214,62528,62966,63408,63984,64227,64686,64870,65191,65457,65736,65934,66286,66461,67206,67629,67934,
LisidaHammer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,72,116,143,143,179,182,209,209,209,209,241,241,288,288,288,288,288,404,404,404,422,428,428,428,428,428,429,429,429,429,503,503,503,520,520,520,520,520,520,527,527,540,540,540,540,553,553,553,561,561,565,565,565,565,565,566,566,568,578,578,587,587,587,587,610,610,610,646,704,720,720,721,724,739,739,739,739,739,857,857,857,877,877,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,942,943,943,943,943,943,943,943,986,1056,1136,1249,1591,1994,2039,2093,2220,2279,2352,2374,2406,2560,2616,2632,2632,2632,2725,2794,2886,3019,3035,3035,3035,3035,3038,3038,3058,3058,3058,3058,3078,3078,3078,3078,3092,3092,3092,3106,3107,3110,3110,3110,3110,
