Nom,1/9/2012,15/9/2012,1/10/2012,15/10/2012,1/11/2012,15/11/2012,1/12/2012,15/12/2012,1/1/2013,15/1/2013,1/2/2013,15/2/2013,1/3/2013,15/3/2013,1/4/2013,15/4/2013,1/5/2013,15/5/2013,1/6/2013,15/6/2013,1/7/2013,15/7/2013,1/8/2013,15/8/2013,1/9/2013,15/9/2013,1/10/2013,15/10/2013,1/11/2013,15/11/2013,1/12/2013,15/12/2013,1/1/2014,15/1/2014,1/2/2014,15/2/2014,1/3/2014,15/3/2014,1/4/2014,15/4/2014,1/5/2014,15/5/2014,1/6/2014,15/6/2014,1/7/2014,15/7/2014,1/8/2014,15/8/2014,1/9/2014,15/9/2014,1/10/2014,15/10/2014,1/11/2014,15/11/2014,1/12/2014,15/12/2014,1/1/2015,15/1/2015,1/2/2015,15/2/2015,1/3/2015,15/3/2015,1/4/2015,15/4/2015,1/5/2015,15/5/2015,1/6/2015,15/6/2015,1/7/2015,15/7/2015,1/8/2015,15/8/2015,1/9/2015,15/9/2015,1/10/2015,15/10/2015,1/11/2015,15/11/2015,1/12/2015,15/12/2015,1/1/2016,15/1/2016,1/2/2016,15/2/2016,1/3/2016,15/3/2016,1/4/2016,15/4/2016,1/5/2016,15/5/2016,1/6/2016,15/6/2016,1/7/2016,15/7/2016,1/8/2016,15/8/2016,1/9/2016,15/9/2016,1/10/2016,15/10/2016,1/11/2016,15/11/2016,1/12/2016,15/12/2016,1/1/2017,15/1/2017,1/2/2017,15/2/2017,1/3/2017,15/3/2017,1/4/2017,15/4/2017,1/5/2017,15/5/2017,1/6/2017,15/6/2017,1/7/2017,15/7/2017,1/8/2017,15/8/2017,1/9/2017,15/9/2017,1/10/2017,15/10/2017,1/11/2017,15/11/2017,1/12/2017,15/12/2017,1/1/2018,15/1/2018,1/2/2018,15/2/2018,1/3/2018,15/3/2018,1/4/2018,15/4/2018,1/5/2018,15/5/2018,1/6/2018,15/6/2018,1/7/2018,15/7/2018,1/8/2018,15/8/2018,1/9/2018,15/9/2018,1/10/2018,15/10/2018,1/11/2018,15/11/2018,1/12/2018,15/12/2018,1/1/2019,15/1/2019,1/2/2019,15/2/2019,1/3/2019,15/3/2019,1/4/2019,15/4/2019,1/5/2019,15/5/2019,1/6/2019,15/6/2019,1/7/2019,15/7/2019,1/8/2019,15/8/2019,1/9/2019,15/9/2019,1/10/2019,
LucilePoupartTaussat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,1893,2049,2102,2162,2309,2438,2481,2481,2481,2481,2481,2481,2481,2482,2482,2483,2483,2483,2483,2489,2630,2784,3007,3121,3247,3248,3248,3254,3276,3276,3276,3276,3276,3276,3276,3276,3276,3279,3279,3279,3279,3279,3279,3279,3279,3279,3279,3279,3279,3279,3279,3279,3332,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,
LysaCtn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2728,4174,4174,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,
manonfontaine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,582,636,636,636,642,657,689,689,689,689,689,689,717,717,717,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,
MargauxGreverie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,882,893,893,893,893,893,893,893,893,893,893,893,893,893,893,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,
MarieelisabethSmintina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,1590,1590,1598,1790,1790,1790,1823,1828,1829,1829,1830,1830,1830,1830,1830,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,
MarineSacriste,0,0,0,0,0,0,0,0,0,0,0,64,234,476,980,1513,2051,2575,2829,3495,4933,4957,5242,5257,5371,5733,6155,6169,6584,6669,6870,6915,6915,6930,6937,6960,6960,7015,7015,7015,7015,7015,7015,7015,7074,7074,7074,7074,7074,7074,7074,7074,7076,7104,7104,7104,7104,7104,7104,7104,7104,7104,7104,7120,7137,7137,7221,7276,7499,7502,7779,8015,8946,8948,9033,9033,9121,9328,9400,9400,9438,9882,10824,11243,11866,12000,12057,12176,12291,12407,12407,12407,12584,12690,12847,12847,12891,12946,13037,13106,13145,13241,13418,13426,13492,13536,13759,13851,13865,13904,13955,13994,14137,14229,14267,14298,14303,14308,14356,14356,14356,14375,14382,14382,14382,14382,14382,14382,14394,14394,14394,14396,14396,14396,14398,14398,14398,14398,14412,14428,14428,14428,14428,14428,14496,14499,14499,14499,14499,14499,14499,14499,14499,14499,14512,14512,14512,14512,14541,14541,14541,14541,14577,14579,14579,14579,14585,14589,14609,14614,14614,
MathieuGrosset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,20,40,113,170,205,287,299,455,632,893,933,996,1030,1097,1202,1317,1362,1537,1583,1633,1671,1753,1847,1877,1911,1925,1963,1963,2007,2007,2007,2007,2007,2007,2007,2007,2026,2026,2026,2026,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,
NicolasCorre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,21,29,29,41,41,399,429,454,458,458,463,474,522,539,539,563,581,628,685,691,691,691,691,699,705,724,756,756,766,767,782,789,846,871,873,975,1005,1014,1014,1075,1087,1163,1163,1164,1217,1306,1324,1350,
NinonGuilbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,16,16,16,19,25,25,37,37,40,40,64,71,89,134,139,149,152,166,206,206,261,363,856,1235,1957,2334,2503,2596,3331,3591,3711,4428,4640,5346,5591,5932,6553,
OscarBrunelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,44,76,263,263,263,263,268,415,418,418,418,1143,1171,1519,2139,2210,2271,2393,2422,2427,2431,2505,2555,2588,2634,2715,2785,3004,3049,3079,3087,3213,3217,3264,3270,3276,3287,3287,3292,3293,3297,3297,3298,3298,3381,3388,3388,3388,3388,3512,3512,3512,3521,3521,3521,3521,3521,3521,3626,3626,3626,3626,3626,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,
PaulineChapt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,99,99,99,99,167,168,168,168,168,168,168,168,168,340,392,392,1122,1726,1733,1773,1884,1903,1903,1903,1903,1909,2025,2025,2041,2108,2108,2139,2139,2139,2139,2139,2163,2214,2214,2214,2254,2256,2258,2288,2288,2288,2457,2473,2499,2499,2499,2506,2506,2506,2506,2553,2566,2566,2566,2566,2612,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,
PierreLemaigre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,44,71,71,217,218,271,275,301,311,314,349,349,354,361,413,499,568,571,582,625,639,649,
RemyGautron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,170,350,590,608,615,838,899,899,899,934,956,958,958,958,1008,1010,1031,1031,1031,1031,1031,1031,1031,1044,1044,1044,1044,1092,1118,1231,1477,1545,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,
RoselyneRobertDurup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,46,46,57,69,69,72,72,72,72,72,72,72,72,72,72,72,73,76,76,87,87,87,89,105,112,112,154,154,192,193,193,199,200,203,203,203,206,218,233,246,246,246,257,289,289,296,296,297,369,371,373,373,373,373,373,373,373,401,404,404,424,428,438,439,439,441,441,474,474,474,474,474,474,474,474,474,474,474,474,474,492,492,492,492,546,546,549,551,553,556,556,556,556,556,556,556,556,556,556,556,
SammyCancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,24,24,24,71,232,367,367,462,462,477,477,677,976,1019,1032,1089,1165,1415,1491,1586,1586,1617,1671,2375,2517,2554,2834,3159,3245,3430,3675,4019,4446,4618,4666,4828,4887,4946,5002,5118,5202,5284,5359,5394,5478,5556,5706,5737,5773,5914,6068,6083,6200,6380,6491,6523,6588,6607,6622,6622,6631,6642,6655,6738,6752,6799,6801,6804,6812,6921,6940,6995,6997,7042,7132,7204,7296,7342,7425,7554,7576,7605,7625,7679,7705,7740,7758,7782,7835,7837,7837,7837,7837,7837,7837,7837,7837,7837,7837,7837,
SinanErgin,0,0,0,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,55,55,55,55,62,62,62,62,62,62,62,62,62,62,63,64,64,64,64,66,69,69,69,69,69,69,80,80,196,200,200,200,200,207,227,227,234,271,274,274,274,391,402,402,402,417,417,417,417,417,437,437,437,437,444,444,444,457,457,457,457,457,457,457,457,464,495,512,540,540,540,540,540,540,540,540,551,552,552,553,583,583,583,583,583,588,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,
SlohanPinaud,0,0,6,6,6,20,28,28,30,38,38,38,38,38,67,127,128,163,246,257,257,265,265,268,269,326,377,513,562,601,658,678,678,678,678,678,678,678,678,712,712,718,718,718,720,720,739,749,807,807,875,875,1102,2660,2991,3039,3177,3229,3296,3314,3487,3626,3667,3915,4562,4691,6251,6582,6793,6974,7287,9034,12316,13167,13929,14186,14396,14729,14761,14855,15557,16394,18801,19630,20830,22925,24641,25146,25717,26069,26679,27287,27735,28002,28451,28583,28824,29058,29536,29799,29979,30191,30587,31175,31525,31891,32354,32562,32768,33116,33389,33488,34199,34311,34828,34895,34919,35127,35186,35268,35532,35595,35651,35669,35804,35864,35873,36109,36112,36133,36202,36274,36323,36337,36341,36365,36378,36411,36411,36447,36495,36497,36497,36512,36512,36698,36744,36764,36772,36844,36844,36844,36853,36875,36875,36935,36940,36940,36945,36972,37042,37049,37071,37071,37071,37071,37071,37071,37071,37071,37071,
Soireecracksle12072023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,3727,6156,6900,7585,8123,9758,10138,10182,10196,10385,10700,10864,
sR-JzmxtLw,0,0,0,0,0,0,0,0,0,0,0,49,102,202,534,575,575,1207,1297,1472,1747,2461,2477,2477,2478,2478,2534,2534,2534,2534,2542,2542,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2721,2721,2721,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2937,3044,3085,3162,3186,3188,3188,3188,3188,3188,3188,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,
TamaraPerard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,42,51,59,68,68,82,83,106,195,195,195,195,195,195,197,219,219,257,377,521,705,818,923,1068,1123,1123,1123,1123,1123,1182,1208,1317,1317,1401,1406,1406,1511,1548,1619,1910,1940,1960,2044,2173,2459,2461,2726,2903,3037,3037,3079,3108,3196,3221,3319,3487,3516,3543,3543,3543,3566,3579,3581,3581,3621,3621,3648,3668,3668,3668,3668,3675,3675,3675,3675,3675,3675,3679,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,
TeoSaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,150,232,362,527,566,592,665,779,854,880,1179,1259,1501,1531,1547,1590,1817,1975,2486,3202,3469,3689,3810,3882,4019,4229,4426,4555,5269,5512,5616,5978,6788,6825,6973,7183,7392,7518,7618,7645,7701,7701,8124,
TheoCreusot,0,0,0,0,0,21,24,24,24,26,26,26,71,71,71,71,71,71,71,78,530,673,733,733,733,754,765,767,790,797,808,828,828,828,828,828,828,828,828,828,828,828,947,951,951,951,951,951,951,951,951,951,951,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,
ToinaneBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,30,220,270,349,530,564,576,576,576,576,576,576,576,576,579,579,579,579,579,579,579,579,579,579,579,579,579,579,591,704,721,862,942,942,942,942,942,968,968,989,997,997,1003,1084,1087,1094,1120,1463,1782,2692,2942,3285,3531,4117,4753,5220,5826,6515,8368,9227,9981,13184,17884,19663,21206,22003,24358,25189,26018,26744,29139,29407,31792,32942,33617,35172,36254,37688,39775,41069,41676,42229,44054,44975,46188,47251,47856,48581,49452,49880,50175,50843,51553,51957,52899,53532,54185,54476,54966,55447,55761,56065,56367,56534,56646,56975,57393,57743,57825,58008,58426,58557,58777,59005,59073,59228,59421,59637,59871,59942,59975,60076,60197,60201,60315,60337,60337,60793,60961,61141,61299,61842,62200,62277,62465,62515,62524,62601,62736,62788,62858,62921,62921,62930,63014,63061,63061,
Trash2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,582,582,582,582,585,589,589,589,598,604,604,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,621,621,621,
TristanYvonnet,0,0,0,0,6,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,96,193,282,386,442,523,577,604,658,660,712,714,714,715,716,730,730,736,736,828,907,965,965,965,1023,1029,1029,1029,1033,1033,1053,1101,1101,1106,1106,1106,1107,1109,1114,1114,1114,1114,1114,1114,1114,1122,1136,1137,1137,1137,1137,1137,1137,1143,1143,1143,1145,1145,1145,1197,1202,1202,1202,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1234,1234,1234,1234,1234,1234,1236,1236,1236,1284,1293,1293,1293,1293,1294,1294,1294,1294,1294,1347,1354,1354,1354,1354,1354,1354,1358,1358,1358,1358,1358,1358,1358,1358,1358,1373,1373,1373,1373,1373,1373,1373,1373,1373,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,
ValentinRault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,189,477,714,1194,1618,1939,2122,2181,2364,2400,2504,2579,2647,2869,2943,2962,3118,3192,3212,3260,3291,3294,3315,3323,3325,3328,3328,3333,3363,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3415,3415,3415,3437,3441,3441,3445,3445,3445,3445,3472,3472,3472,3472,3472,3495,3495,3495,3495,
Yann33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,783,783,783,783,783,783,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,
YannRousseau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,81,102,102,144,278,677,868,1778,3598,4270,4635,5234,5725,6005,6796,7936,9936,11502,12688,13824,16351,16730,18864,19346,20171,20882,21563,22732,24168,25320,28082,29528,30246,31627,32424,33846,34799,35971,37194,38269,38782,39962,41605,44496,45460,46341,47463,48710,49158,49345,49724,49865,49956,50320,50413,50826,51101,51242,51358,51497,51705,52072,52491,52894,53000,53208,53577,53911,54619,54766,55051,55442,55726,56816,57108,57611,58760,59759,60113,60621,61118,62805,65040,66303,67575,68206,68821,69419,71320,72354,73528,74388,75443,76179,78191,79679,81960,
ZoeOzdemir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,1796,3354,4606,5904,7756,8608,9454,10065,13576,15897,16930,18103,18973,19381,19544,
