Nom,1/9/2012,1/10/2012,1/11/2012,1/12/2012,1/1/2013,1/2/2013,1/3/2013,1/4/2013,1/5/2013,1/6/2013,1/7/2013,1/8/2013,1/9/2013,1/10/2013,1/11/2013,1/12/2013,1/1/2014,1/2/2014,1/3/2014,1/4/2014,1/5/2014,1/6/2014,1/7/2014,1/8/2014,1/9/2014,1/10/2014,1/11/2014,1/12/2014,1/1/2015,1/2/2015,1/3/2015,1/4/2015,1/5/2015,1/6/2015,1/7/2015,1/8/2015,1/9/2015,1/10/2015,1/11/2015,1/12/2015,1/1/2016,1/2/2016,1/3/2016,1/4/2016,1/5/2016,1/6/2016,1/7/2016,1/8/2016,1/9/2016,1/10/2016,1/11/2016,1/12/2016,1/1/2017,1/2/2017,1/3/2017,1/4/2017,1/5/2017,1/6/2017,1/7/2017,1/8/2017,1/9/2017,1/10/2017,1/11/2017,1/12/2017,1/1/2018,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/6/2018,1/7/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/1/2019,1/2/2019,1/3/2019,1/4/2019,1/5/2019,1/6/2019,1/7/2019,1/8/2019,1/9/2019,1/10/2019,
RoselyneRobertDurup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,46,69,72,72,72,72,72,72,76,87,87,105,112,154,193,199,203,203,218,246,246,289,296,297,371,373,373,373,401,404,428,439,441,474,474,474,474,474,474,474,492,492,546,551,556,556,556,556,556,556,
SammyCancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,71,367,462,477,677,1019,1089,1415,1586,1617,2375,2554,3159,3430,4019,4618,4828,4946,5118,5284,5394,5556,5737,5914,6083,6380,6523,6607,6622,6642,6738,6799,6804,6921,6995,7042,7204,7342,7554,7605,7679,7740,7782,7837,7837,7837,7837,7837,7837,
SinanErgin,0,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,55,55,62,62,62,62,62,64,64,66,69,69,69,80,200,200,207,227,271,274,391,402,417,417,417,437,437,444,457,457,457,457,464,512,540,540,540,540,552,553,583,583,588,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,
SlohanPinaud,0,6,6,28,30,38,38,67,128,246,257,265,269,377,562,658,678,678,678,678,712,718,720,739,807,875,1102,2991,3177,3296,3487,3667,4562,6251,6793,7287,12316,13929,14396,14761,15557,18801,20830,24641,25717,26679,27735,28451,28824,29536,29979,30587,31525,32354,32768,33389,34199,34828,34919,35186,35532,35651,35804,35873,36112,36202,36323,36341,36378,36411,36495,36497,36512,36744,36772,36844,36853,36875,36940,36945,37042,37071,37071,37071,37071,37071,
Soireecracksle12072023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,6156,7585,9758,10182,10385,10864,
sR-JzmxtLw,0,0,0,0,0,0,102,534,575,1297,1747,2477,2478,2534,2534,2542,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2720,2720,2720,2720,2720,2720,2720,2720,2720,2721,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,3044,3162,3188,3188,3188,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,
TamaraPerard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,51,68,82,106,195,195,195,219,257,521,818,1068,1123,1123,1182,1317,1401,1406,1548,1910,1960,2173,2461,2903,3037,3108,3221,3487,3543,3543,3579,3581,3621,3668,3668,3675,3675,3675,3679,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,
TeoSaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,362,566,665,854,1179,1501,1547,1817,2486,3469,3810,4019,4426,5269,5616,6788,6973,7392,7618,7701,8124,
TheoCreusot,0,0,0,24,24,26,71,71,71,71,530,733,733,765,790,808,828,828,828,828,828,947,951,951,951,951,951,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,958,
ToinaneBC,0,0,0,0,0,0,0,0,0,0,1,1,30,270,530,576,576,576,576,579,579,579,579,579,579,579,591,721,942,942,942,968,997,1003,1087,1120,1782,2942,3531,4753,5826,8368,9981,17884,21206,24358,26018,29139,31792,33617,36254,39775,41676,44054,46188,47856,49452,50175,51553,52899,54185,54966,55761,56367,56646,57393,57825,58426,58777,59073,59421,59871,59975,60197,60315,60337,60961,61299,62200,62465,62524,62736,62858,62921,63014,63061,
Trash2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,582,582,589,589,604,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,621,621,
TristanYvonnet,0,0,6,48,48,49,49,49,49,49,49,49,193,386,523,604,660,714,715,730,736,828,965,965,1029,1029,1033,1101,1106,1106,1109,1114,1114,1114,1122,1137,1137,1137,1143,1143,1145,1197,1202,1221,1221,1221,1221,1221,1221,1221,1234,1234,1234,1236,1236,1293,1293,1294,1294,1294,1354,1354,1354,1358,1358,1358,1358,1358,1373,1373,1373,1373,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,
ValentinRault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,477,1194,1939,2181,2400,2579,2869,2962,3192,3260,3294,3323,3328,3333,3407,3407,3407,3407,3407,3407,3415,3415,3441,3445,3445,3472,3472,3472,3495,3495,
Yann33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,783,783,783,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,
YannRousseau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,102,278,868,3598,4635,5725,6796,9936,12688,16351,18864,20171,21563,24168,28082,30246,32424,34799,37194,38782,41605,45460,47463,49158,49724,49956,50413,51101,51358,51705,52491,53000,53577,54619,55051,55726,57108,58760,60113,61118,65040,67575,68821,71320,73528,75443,78191,81960,
ZoeOzdemir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796,4606,7756,9454,13576,16930,18973,19544,
